t1,t2,t3,t4
78.47999999999999,44.144999999999996,19.62,4.905
57.12866364145225,39.73555877642903,17.317189933307866,4.838583236688128
35.89213513402361,35.11933160030049,14.902117775537388,4.722443683394575
15.008683968694541,30.323889672931536,12.389112545682577,4.556640625741466
-5.29278747631102,25.379574789057948,9.793700597435343,4.34191345472395
-24.797547667114074,20.31902753200525,7.132381229047075,4.079655528763261
-43.309357965267395,15.176644097838064,4.42237914983134,3.771874021414424
-60.65418112379729,9.987978494692818,1.6813800578616203,3.4211371667224544
-76.68317205308072,4.789109272404289,-1.0727438403980543,3.0305106746832946
-91.27487825682437,-0.38400861938577435,-3.8222112333604272,2.603485374561159
-104.33661100363918,-5.496185835582487,-6.549604873269063,2.1438983444827673
-115.80498221931612,-10.51361411100585,-9.238133609344585,1.655849896642223
-125.64563449733416,-15.404436390737928,-11.871876897924722,1.1436188079087184
-133.8522209539684,-20.13925520360037,-14.436006143228504,0.6115781192034635
-140.44471659965043,-24.6915659252828,-16.916978147280112,0.06411368114370108
-145.46716250151235,-29.03810508566687,-19.302697006674073,-0.4944525911548441
-148.9849576922237,-33.15910761488316,-21.58264193336229,-1.0599330613561473
-151.0818213395819,-37.03847068012192,-23.747959641927565,-1.6283369312866802
-151.85654929393837,-40.66382534345489,-25.791521084797218,-2.195923970247042
-151.4196852574958,-44.0265205025726,-27.70794338269782,-2.759248713345145
-149.8902182066037,-47.12152633152348,-29.493578750922218,-3.3151947680152283
-147.39240526285687,-49.947266629120676,-31.146473032151363,-3.8609991896448843
-144.05280397322855,-52.50539106284691,-32.66629709283406,-4.394267179628786
-139.9975809757019,-54.80049925972942,-34.05425481149,-4.912977613580338
-135.35014630973,-56.83982907123358,-35.31297168210572,-5.41548011784373
-130.22914510218567,-58.6329211829148,-36.446368180717414,-5.900484575468882
-124.74682180624855,-60.191271627534285,-37.459522011966904,-6.367044057548945
-119.00775721816942,-61.527982780926564,-38.35852318392311,-6.814532243635082
-113.10796559606104,-62.65742216629245,-39.15032557654063,-7.242616419105716
-107.13432863327506,-63.594896956556525,-39.84259829663218,-7.651227122659689
-101.16433491207158,-64.35635053132916,-40.44357967559795,-8.040525469386948
-95.26608775459594,-64.95808589023365,-40.96193629012091,-8.410869100664684
-89.49854095430781,-65.41651921116747,-41.40662889360042,-8.76277761819815
-83.91192047997639,-65.7479654207266,-41.786786657760686,-9.09689825253486
-78.5482906040529,-65.96845635197829,-42.11159065714381,-9.413972402580368
-73.44222469241097,-66.09359092764922,-42.39016709835332,-9.714803567643603
-68.62154376865675,-66.13841583991994,-42.63149041194684,-10.000227082142533
-64.10808960984464,-66.11733440824516,-42.844295995640735,-10.271081959200412
-59.91850324423955,-66.04404068423048,-43.037002127943815,-10.528185055908303
-56.06498404594653,-65.93147543308521,-43.21764036387731,-10.772307692033989
-52.5560089401926,-65.79180034679533,-43.39379357926421,-11.00415478655723
-49.39699537844288,-65.63638672515512,-43.57254074554773,-11.224346522947538
-46.59089559304651,-65.47581488621684,-43.760407490113174,-11.433402514232043
-44.138713119780576,-65.31988072589476,-43.963321523339616,-11.631728411715518
-42.039935646370736,-65.1776061251082,-44.18657208787985,-11.819604885360402
-40.2928809027357,-65.05725028884761,-44.43477270201063,-11.997178897631727
-38.894954578839034,-64.96631958053857,-44.71182662078931,-12.164457194170563
-37.842821183926276,-64.91157397088925,-45.02089461920495,-12.321301941979119
-37.132490405924266,-64.89902883450527,-45.36436490313293,-12.467428456860201
-36.75932295875687,-64.9339514785679,-45.74382516895425,-12.602404974688938
-36.717961186615014,-65.02085245135888,-46.16003705315383,-12.725654433866382
-37.002190891966514,-65.16347232693748,-46.61291343078631,-12.836458247348636
-37.60474202328263,-65.36476526590945,-47.10149922795304,-12.933962050522346
-38.517037040484055,-65.62688117952818,-47.62395659987692,-13.017183414728336
-39.728896995097216,-65.9511487438243,-48.177555484401516,-13.085021514527131
-41.22821662207185,-66.33806179240194,-48.758670662693085,-13.136268729272327
-43.00062102311628,-66.78727173538813,-49.362786537068324,-13.1696241459506
-45.029117786466564,-67.29758858874905,-49.9845108635446,-13.183708910630738
-47.29375957217668,-67.86699294275378,-50.61759864845071,-13.177083350631872
-49.77133321211588,-68.49266075192025,-51.254987330333876,-13.148265759376212
-52.43509213023036,-69.17100220530092,-51.88884421845661,-13.095752701821183
-55.2545492706049,-69.8977151631479,-52.51062694763641,-13.018040661601702
-58.195347613838734,-70.66785276505061,-53.11115743880606,-12.913648812985453
-61.21922465628538,-71.47590387894613,-53.680709530930464,-12.781142663016073
-64.28408582616387,-72.31588413285857,-54.20911008105874,-12.619158273423029
-67.34419964437757,-73.18143442040241,-54.68585292628475,-12.426426739635978
-70.35052446964514,-74.06592306635048,-55.1002246776786,-12.201798577091864
-73.2511729045241,-74.96254734451944,-55.441440887371996,-11.944267644341295
-75.99201543912518,-75.86442981087573,-55.6987907129638,-11.65299421939272
-78.51741978583772,-76.76470498805061,-55.86178781608996,-11.327326841137307
-80.77111677982055,-77.65659233055644,-55.92032489213169,-10.966822532105393
-82.69717790684008,-78.53345210616934,-55.86482895239743,-10.571265032394319
-84.24108373633291,-79.38882181613262,-55.686414283548714,-10.140680697201923
-85.35085707834837,-80.21643198854339,-55.37702990354944,-9.675351741484397
-85.97822985770073,-81.01020153771509,-54.92959832737304,-9.175826554016055
-86.079808811589,-81.76421429363873,-54.338142553212286,-8.642926848496103
-85.61820244647221,-82.47267966713666,-53.597898380459455,-8.077751470071949
-84.56307046755073,-83.12988162447407,-52.70540946894411,-7.481676730361916
-82.89205728527764,-83.73012110465126,-51.658602934900344,-6.856353201348959
-80.59157329194814,-84.26765764427121,-50.45684373880677,-6.203698956987415
-77.65739137975287,-84.7366562231183,-49.10096663608725,-5.525889309697785
-74.09503153575037,-85.13114518132042,-47.59328501368712,-4.825343145920383
-69.91991310137993,-85.4449904903539,-45.93757650236756,-4.104706019500513
-65.15726214236138,-85.67189072045757,-44.1390458146067,-3.366830212986172
-59.841769988148904,-85.80539579975398,-42.20426579063367,-2.6147520241862914
-54.01700796908238,-85.83895119192027,-40.14109812176478,-1.8516665779515349
-47.734612280134904,-85.76596753160776,-37.95859564521834,-1.080900500605194
-41.0532613099276,-85.5799141591027,-35.666888455937446,-0.3058828263578104
-34.037475296158746,-85.274433495404,-33.277056350675494,0.4698854689607943
-26.756274456992365,-84.84347189336128,-30.800990303886184,1.2428628917296811
-19.28173652434764,-84.28142157003553,-28.25124577402756,2.0094993835002857
-11.687497674645236,-83.58326752782882,-25.640890656590425,2.7662683680982685
-4.047242112247435,-82.74473303943776,-22.98335064339857,3.509698458229813
3.566774998508601,-81.76241731020872,-20.292254625738316,4.236404394401688
11.085128853621633,-80.63391932190622,-17.581282602441103,4.9431168035452515
18.4425120539013,-79.35794256337601,-14.86401833471303,5.626710386391842
25.578874057987694,-77.93437630809551,-12.153808738872764,6.284230171168696
32.44038599739636,-76.3643502365118,-9.46363173724659,6.91291550618104
38.98021081284702,-74.65026044683154,-6.805974006272447,7.51022150472874
45.15906607770118,-72.79576617565935,-4.192719778040415,8.07383770178241
50.945574347902095,-70.80575778818289,-1.63505157422399,8.601703731919207
56.316403103318166,-68.68629773350477,0.8566365146591597,9.09202189101966
61.25620304073506,-66.44453714245954,3.272812642130453,9.543266498834935
65.75735940607399,-64.08861153392172,5.604867979856779,9.954190034332859
69.81957602719218,-61.62751966576932,7.84516453256443,10.323826069267518
73.4493156001696,-59.0709899060087,9.987070261100241,10.651489076265019
76.65912252081996,-56.42933860797514,12.024981944759332,10.93677123454685
79.4668561251564,-53.713324861616826,13.954336352832783,11.179536398057083
81.894862645491,-50.93400568039422,15.771610408398962,11.379911426280684
83.96911358582486,-48.102595197441694,17.474311114009957,11.538275106775064
85.71833669131775,-45.23033081837585,19.060956068623238,11.655244920041056
87.173163379905,-42.32834854896013,20.53104543772976,11.731661911826183
88.36531358576468,-39.40756892446093,21.88502624444552,11.76857394561703
89.32683560935209,-36.478594156837744,23.1242498293486,11.767217609601484
90.08941495212865,-33.55161632999403,24.250923282892906,11.728999048714474
90.68376240316746,-30.636335756461506,25.26805558914757,11.655473984707067
91.13908799260312,-27.741888004451646,26.179399137322136,11.54832717683993
91.4826639673771,-24.876777653211306,26.989387163067754,11.409351564210484
91.73947678945098,-22.04881657404296,27.70306758094197,11.240427319259142
91.93196539286993,-19.265064495056755,28.326033569581632,11.043501031907944
92.07984062628613,-16.531769812003184,28.86435117950141,10.820565236062688
92.19997899032046,-13.854309066444259,29.324484157681496,10.573638485510813
92.3063824705802,-11.237124223079398,29.713216130646654,10.304746184791952
92.41019546323344,-8.683657820631105,30.037570265254466,10.015902382130895
92.51976946915585,-6.196287206941207,30.304726539357922,9.70909273519522
92.64076635825162,-3.7762603404198174,30.521936806599452,9.386258864937785
92.77629152861618,-1.4236369682972878,30.696437932365974,9.049284316288123
92.92704914659447,0.8627597195768217,30.835363410376814,8.69998234476183
93.09151278610999,3.0853747259996958,30.945654037690737,8.34008574270693
93.26610611495309,5.247929071121089,31.033968423426373,7.971238905384055
93.44538972301527,7.3553962371894706,31.10659432371021,7.594992313022218
93.6222516701782,9.41393970233036,31.169362020283316,7.212799568447214
93.7881007653021,11.430804673220376,31.227561178721146,6.826017079541549
93.93306288841069,13.414158433244936,31.28586281883296,6.435906411253262
94.04618175470216,15.372875716627092,31.34824818836637,6.04363925380553
94.11562631693762,17.3162681699524,31.4179464358278,5.65030486407981
94.12890744828916,19.253760182475478,31.497383014555794,5.256919739044388
94.07310659253338,21.194517007440787,31.58814070604387,4.864439178002316
93.93511868459575,23.147034953110698,31.690935017179836,4.473770289833354
93.70191082903028,25.118707240636407,31.805605479078114,4.085785908587531
93.36079700318112,27.115382619030566,31.931124055021304,3.7013388024428835
92.89972748302438,29.14093669435652,32.06562145756961,3.32127550378622
92.3075898622262,31.19687788036508,32.20643169153723,2.9464490580381817
91.57451656730017,33.28201065755806,32.35015459695158,2.577729990712938
90.69219180647706,35.39217824645814,32.49273558568631,2.2160148293302653
89.65414908532446,37.52010475456571,32.629561172316286,1.8622315903797535
88.45604894140232,39.65535334521285,32.75556832149266,1.5173417504263522
87.0959255483366,41.784412114594424,32.865365099334085,1.1823383610360159
85.57439044975371,43.890913379385495,32.9533596528173,0.8582401335047454
83.89478200332233,45.95598530425073,33.01389417429384,0.5460815033062127
82.06325019555793,47.95872765213734,33.041380259314124,0.246898876024086
80.08876832465455,49.876796389772366,33.030431950571874,-0.038286554400128736
77.98306557783488,51.68707541235833,32.97599278794243,-0.30848884894190665
75.76047763008734,53.36640822815359,32.873453355776014,-0.5627795109357718
73.43771589015107,54.89235846610278,32.718756127642735,-0.8003109823504699
71.03355970553159,56.24396584117386,32.50848484202407,-1.0203405358691109
68.56847947652216,57.40246391131562,32.239936179806925,-1.22225361686204
66.06420198089884,58.3519276249656,31.91117213029421,-1.4055857029129806
63.54323205305176,59.07982218228598,31.521052097468743,-1.5700418072553415
61.02834690504619,59.577429874841044,31.069244481203757,-1.7155128521158334
58.542080683679586,59.84013797093897,30.55621813780349,-1.8420882718819174
56.10621724921425,59.86757793743283,29.98321475143145,-1.9500643656032262
53.74130862664244,59.663613847210335,29.352203707027737,-2.039948093744475
51.466235173114015,59.23618522252527,28.66582152563648,-2.112456194964307
49.29782133840716,58.59701634816052,27.927298290055713,-2.168509674889882
47.25051812909835,57.76120986260382,27.14037374424572,-2.2092238812288985
45.33616021340031,56.74674690097536,26.309205892339122,-2.2358945204724643
43.56380222936199,55.57391903179675,25.438274956766485,-2.249980085202533
41.939635488896684,54.264718629011256,24.532285489520763,-2.253081244116622
40.46698309086612,52.84221419192053,23.596069279572237,-2.246917798042113
39.14636862502541,51.32993560965048,22.634491479310046,-2.2333038252568738
37.97565128324429,49.75129168396964,21.6523621013995,-2.2141216310204728
36.95021837053329,48.129038650648226,20.65435473245115,-2.1912950834509646
36.063224958790016,46.48481427999446,19.644933988138522,-2.1667628658535483
35.30586974461533,44.838747700126056,18.628292910586346,-2.1424521099358467
34.667696020277795,43.209150661089545,17.608301194991355,-2.120252800715324
34.13690698079181,41.612291795855626,16.588464837488008,-2.1019932676887283
33.700685291388126,40.062251737017654,15.571897526039658,-2.089417002692282
33.34550784246148,38.57085386001138,14.561303853457526,-2.084160976656854
33.057447837530034,37.147663030414115,13.558974216755415,-2.087735567975183
32.822457713696636,35.80004306439006,12.566791078068517,-2.1015061662351435
32.62662781291832,34.533262649024365,11.586246095922885,-2.126676477442601
32.456417146841986,33.35063915530296,10.61846748744739,-2.1642735305060112
32.298853980593435,32.25371002446998,9.664256847546838,-2.2151343689356446
32.1417052651193,31.24242211431961,8.724134525633835,-2.2798944051699954
31.9736151460523,30.315330443847806,7.798392540347445,-2.358977416119668
31.784213849283873,29.46979906169983,6.887153894740487,-2.452587165727435
31.564199174196933,28.70219818268322,5.990437036747296,-2.560700651928145
31.30539360281271,28.008093196191993,5.108224091611782,-2.683062989854607
31.00078064684799,27.382422574458598,4.240531374894304,-2.8191839592129364
30.64452449594756,26.81966303649544,3.3874805785093294,-2.968336260456012
30.231977291170974,26.313981509713127,2.549368911085028,-3.1295555410024294
29.759678421368655,25.85937444293445,1.7267363721580065,-3.301642268799634
29.225350121362496,25.44979583996104,0.9204282529346042,-3.4831655456975925
28.627893337471214,25.079275988054547,0.1316508913587029,-3.672468967140018
27.967387319162164,24.742033242152505,-0.6379813260876439,-3.8676786473218856
27.245095701442864,24.43258138818734,-1.386409720242769,-4.0667135397984655
26.463480972770533,24.145835044395753,-2.1111077859933545,-4.267298191927477
25.626228196249507,23.87721526654186,-2.80907221409396,-4.466978076541113
24.738277693875844,23.622757002377956,-3.4768301359140796,-4.663137644586396
23.805865149168177,23.37921929724833,-4.1104640064725455,-4.853021236486896
22.83656627629764,23.144198197819723,-4.70565520559232,-5.033756975689757
21.839341896665438,22.916241155505112,-5.257747014152233,-5.2023837430571795
20.824578018766957,22.694960429403494,-5.761827111649478,-5.355881293135392
19.80411440448058,22.48114158111604,-6.212829146748387,-5.49120352067923
18.79125420182052,22.276841710201197,-6.6056522639088655,-5.605314816256113
17.800746612205977,22.085470689025744,-6.935296742567326,-5.695229362038041
16.848734321591884,21.911847428426174,-7.197013143288579,-5.758053112651561
15.952657637321522,21.76222226601916,-7.386461586904247,-5.791028082015318
15.13110800388852,21.644256052150745,-7.499877052807797,-5.791578417715608
14.403624871052784,21.5669465499734,-7.534235910772537,-5.757357593548685
13.790431781760446,21.54049349032107,-7.487418339125359,-5.686295894030529
13.312110026738445,21.576095127828143,-7.3583608734468555,-5.576647209295425
12.989211228793877,21.68567149037996,-7.147193114365596,-5.42703401378871
12.841813678255264,21.88151270220649,-6.855352635198333,-5.236489277648683
12.889030998523566,22.17585472613244,-6.485672396363576,-5.004493966550689
13.148485586548247,22.58038946996661,-6.042435508495403,-4.731008735018891
13.63576301422134,23.10572121312116,-5.531392991114618,-4.416498420069862
14.363866928645763,23.76078643436615,-4.959741234349465,-4.061948005243858
15.342696671690469,24.552259000057557,-4.336057157321449,-3.6688688558557954
16.578571576582462,25.48396690375542,-3.670190522672552,-3.2392942276094594
18.073826444461865,26.556349921631334,-2.9731144526482893,-2.7757633215064668
19.82650186382093,27.76598927697848,-2.2567368273539827,-2.2812934926775723
21.83015069617101,29.10524036828751,-1.5336768520812463,-1.7593406090872294
24.073778197387682,30.561997586593115,-0.8170125769113028,-1.213747983154457
26.5419279754177,32.11961614083376,-0.12000645924896247,-0.6486847462847356
29.21491952063448,33.757009694023566,0.5441828931483776,-0.068574981053934
32.06923571888954,35.44893472573573,1.1627939343721678,0.5219806556454154
35.078051000676695,37.16646327930876,1.723751120568103,1.118288717157374
38.211883093770695,38.87763566998294,2.215940376090604,1.7156497635682717
41.43934426415131,40.54827447413443,2.6294623002009274,2.3094455737054647
44.72796197197508,42.142931398287935,2.9558551189709377,2.89522408463481
48.04503449880974,43.625930146933975,3.1882805121262265,3.4687793978511348
51.358484680809134,44.96246181514609,3.3216668482930665,4.026224339932389
54.63767463386977,46.1196851496629,3.3528059738327087,4.564053330722338
57.854146342832024,47.067782604818376,3.2804014396547103,5.0791936822104375
60.98225709727829,47.78092461775013,3.1050678318046927,5.569043907706055
63.99968471573732,48.23809887097036,2.8292826103354045,6.03149813977368
66.88778488925419,48.423768214360564,2.457293477491188,6.46495630903129
69.6317912684136,48.32832990641157,1.9949857208544906,6.868320294747041
72.22085752820603,47.94835928002232,1.4497151534728356,7.240976792774383
74.64794897619153,47.28663212043699,0.8301131606207459,7.58276812945064
76.90959876624304,46.35193120791235,0.1458709384925605,7.893952658280529
79.00554997462635,45.15865290101998,-0.5924897320993772,8.1751566915285
80.93830934153233,43.72623868053133,-1.3738518834261253,8.427320129588093
82.7126411782887,42.07846373454986,-2.1867379678712027,8.651638052326774
84.33503073946783,40.24261960445292,-3.0195372885695733,8.8495005304008
85.81314535640516,38.24863047074521,-3.860720643008321,9.022432808853605
87.15531904635696,36.12814285999647,-4.699037491050415,9.172037823404224
88.37008246806964,33.91362658311371,-5.523691974094339,9.29994274886508
89.46575536933217,31.637520889106668,-6.324495167466061,9.407750968712925
90.4501134684902,29.331454550807123,-7.091991994249561,9.497000515529853
91.33013642203716,27.025562357334074,-7.817562221979237,9.5691296839012
92.11183850521857,24.747913752783365,-8.493495867694108,9.625450178744932
92.80017915928832,22.52406258728719,-9.113044123865453,9.66712784858149
93.3990468470976,20.3767205356352,-9.670447568413582,9.695170777179506
93.91130683444825,18.325551013392534,-10.160943925664517,9.710424276841643
94.33890162394947,16.38707561462518,-10.580757998752706,9.713572147058471
94.68299178525811,14.574681349666495,-10.927076601593432,9.705143434537494
94.94412476675805,12.89871432801989,-11.198011389711096,9.685523852778704
95.12241981308355,11.366643984892573,-11.392552437807987,9.654970986964205
95.21775819913344,9.983281401609393,-11.510515254843103,9.613632416654355
95.22996946332891,8.751035586312334,-11.552483683116646,9.561565927174817
95.15900602354299,7.670192599992573,-11.51975081555071,9.49876104267539
95.00510034539222,6.739203960548595,-11.414259703827984,9.425161191762102
94.76890058308777,5.954972663264218,-11.238545237077862,9.340685903030085
94.45158223223694,5.313127262484355,-10.99567816270623,9.24525251635869
94.0549347534359,4.808276630255337,-10.689211812399476,9.138796981236508
93.58142330287743,4.434240132938423,-10.323131700251539,9.021293391711083
93.03422662266769,4.18424996310075,-9.901807787810823,8.892771976164223
92.4172527999731,4.051124174261639,-9.429948872819958,8.753335317603437
91.73513501688552,4.027410556401138,-8.912558263850364,8.603172626262737
90.99320960964491,4.10550284552509,-8.354889660710665,8.442571921707964
90.19747877157897,4.277731879980054,-7.762401979023442,8.271930007792477
89.35456010775849,4.536435207405191,-7.140711745291349,8.09176014271736
88.47162502111934,4.874009320906987,-6.495541654709138,7.902697320481963
87.55632761905106,5.282949172640915,-5.832663936358353,7.705501091693945
86.61672551329403,5.755879885200508,-5.157837317102501,7.501055863556356
85.66119357827066,6.2855856578763545,-4.476736623072041,7.290368633200036
84.69833146363308,6.86504074096838,-3.794874410475523,7.074564127406503
83.73686545141209,7.4874470155665165,-3.1175144766275538,6.8548773467577
82.78554512749714,8.146282152760719,-2.449577663910535,6.632643544413984
81.85303531682163,8.835361518126927,-1.7955410242354208,6.409285709512546
80.94780382130367,9.548915920977796,-1.1593321424849217,6.186299672393562
80.0780057024801,10.281685978607436,-0.5442211991340287,5.965237002618267
79.25136516267219,11.029032284031565,0.04728584948311809,5.7476859294888225
78.47505648703367,11.787058763247474,0.6135488231264192,5.53525057632602
77.75558599266841,12.552744643345326,1.1538847579802392,5.3295288613647065
77.09867745965197,13.3240784152736,1.6686438335696874,5.1320894766013065
76.50916405270397,14.100185186517184,2.1592640238254335,4.944448407798468
75.99089023385136,14.881437031952622,2.628298608062469,4.768045500544535
75.54662756195403,15.66953454323233,3.079410891583004,4.604221605328414
75.17800851753324,16.46754694042071,3.517331062198049,4.454196845935699
74.88548252489835,17.27989803623954,3.9477710793855927,4.319050547626189
74.6682981178904,18.112286206011994,4.37729486697575,4.19970333289897
74.52451467187895,18.97152844708485,4.813142841862762,4.096901842640752
74.45104628145457,19.86532167821563,5.263011914075165,4.011206469771052
74.44373920175197,20.801918614976152,5.7347944596537035,3.9429824031554084
74.49748281975815,21.7897207421751,6.236282288094545,3.892394174899547
74.60635243813388,22.836796857076855,6.774844163680325,3.8594037887455235
74.76378032544999,23.95034203444027,7.35708783633017,3.843772386784068
74.9627496274338,25.136098223418053,7.988519621659203,3.8450652924260127
75.19600397841899,26.397763510627485,8.673216169789914,3.86266015622713
75.4562641464015,27.736421820950877,9.413524018427726,3.8957578342965773
75.73644193376862,29.15002793818155,10.209802704360515,3.9433955525827047
76.02984096919997,30.632983739121144,11.060226515137952,4.00446185915573
76.33033406609587,32.17584009769498,11.96065835687843,4.077712843983942
76.63250754920944,33.765154853721896,12.90460671253479,4.16178911303208
76.93176437209044,35.383530589030904,13.883273349415663,4.255233040101538
77.22437991370492,37.00984697797685,14.885695450785883,4.356505882846071
77.50750694477162,38.61969167560354,15.898981396886505,4.464004433985874
77.77912923120442,40.18598177282343,16.90863475462461,4.576076978360927
78.03796638966793,41.67975563426429,17.898956431234694,4.691038433335532
78.28333569888079,43.071103372951164,18.853510694370055,4.807184655780016
78.51497936427107,44.33019423697448,19.755637136993553,4.9228059950394165
78.7328680128909,45.42835162676683,20.58898791488238,5.036200250301647
78.93699277667542,46.33912199411557,21.338067899814604,5.145685246311707
79.12715907610821,47.03928292006823,21.98875489647558,5.24961126905143
79.30279508121555,47.50973836522172,22.528777810795106,5.346373600695269
79.46278681394772,47.73625526446111,22.9481325936423,5.434425361191067
79.60535004899705,47.71000483985168,23.23941879783208,5.5122908049507435
79.72794671636939,47.42788352294764,23.398083488063328,5.5785791402981815
79.82725060532837,46.89260132385958,23.422563785962385,5.631998843193595
79.89916404272664,46.11253887578671,23.31432423170004,5.671372333202669
79.93888410525363,45.10138723292154,23.077790099889658,5.695650777099214
79.94101404842729,43.877595903619145,22.72018252751828,5.70392869211348
79.89971318756648,42.4636638171383,22.251265529970897,5.695457944086881
79.8088765936151,40.885314425864735,21.683018477612407,5.6696606817144986
79.6623347600633,39.17059965948228,21.029250218385872,5.62614072090115
79.45406288783857,37.348977951479185,20.30517266651288,5.564692895222375
79.17838959785225,35.45040926570099,19.52695230741996,5.485309919634797
78.83019564175194,33.50450537142277,18.71125773369342,5.3881863729526085
78.40509442840265,31.539767101539873,17.87482012280686,5.273719486449513
